Fondo,Fecha,Valor
111,5/27/18,106.9144491
111,5/28/18,106.9360996
111,5/29/18,106.9550583
111,5/30/18,106.9751927
111,5/31/18,106.9968883
111,6/1/18,107.0144526
111,6/2/18,107.0318638
111,6/3/18,107.0492741
111,6/4/18,107.066503
111,6/5/18,107.0840666
111,6/6/18,107.1014317
111,6/7/18,107.11828
111,6/8/18,107.1355092
111,6/9/18,107.1528792
111,6/10/18,107.1702481
111,6/11/18,107.1875145
111,6/12/18,107.2048344
111,6/13/18,107.2223032
111,6/14/18,107.2395664
111,6/15/18,107.2555527
111,6/16/18,107.2729157
111,6/17/18,107.2902778
111,6/18/18,107.3069494
111,6/19/18,107.3232213
111,6/20/18,107.340495
111,6/21/18,107.3571877
111,6/22/18,107.3741745
111,6/23/18,107.3915031
111,6/24/18,107.4088307
111,6/25/18,107.4259027
111,6/26/18,107.4430905
111,6/27/18,107.4623413
111,6/28/18,107.4884943
111,6/29/18,107.5057108
111,6/30/18,107.5236321
111,7/1/18,107.5460519
111,7/2/18,107.5541712
111,7/3/18,107.5686656
111,7/4/18,107.5834625
111,7/5/18,107.5980663
111,7/6/18,107.6112073
111,7/7/18,107.6259951
111,7/8/18,107.640782
111,7/9/18,106.2317478
111,7/10/18,106.2448445
111,7/11/18,106.2562235
111,7/12/18,106.2693512
111,7/13/18,106.2817289
111,7/14/18,106.2964864
111,7/15/18,106.3112431
111,7/16/18,106.3232111
111,7/17/18,106.3376469
111,7/18/18,106.3512355
111,7/19/18,106.3724044
111,7/20/18,106.3897501
111,7/21/18,106.4106826
111,7/22/18,106.431614
111,7/23/18,106.4549224
111,7/24/18,106.4753856
111,7/25/18,106.4950969
111,7/26/18,106.5157281
111,7/27/18,106.5364859
111,7/28/18,106.5572812
111,7/29/18,106.5780754
111,7/30/18,106.5990376
111,7/31/18,106.6198912
111,8/1/18,106.6372509
111,8/2/18,106.6540093
111,8/3/18,106.6709873
111,8/4/18,106.6880713
111,8/5/18,106.7051543
111,8/6/18,106.7222024
111,8/7/18,106.7464373
111,8/8/18,106.7627479
111,8/9/18,106.7789694
111,8/10/18,106.7947032
111,8/11/18,106.8113586
111,8/12/18,106.8280131
111,8/13/18,106.8448473
111,8/14/18,106.8613026
111,8/15/18,106.8778055
111,8/16/18,106.8944232
111,8/17/18,106.9096992
111,8/18/18,106.9263377
111,8/19/18,106.9429753
111,8/20/18,106.959424
111,8/21/18,106.9759246
111,8/22/18,106.9924674
111,8/23/18,107.0090752
111,8/24/18,107.0257013
111,8/25/18,107.0423673
111,8/26/18,107.0590324
111,8/27/18,107.0755348
111,8/28/18,107.0919049
111,8/29/18,107.1083395
111,8/30/18,107.129154
111,8/31/18,107.1472424
111,9/1/18,107.1651183
111,9/2/18,107.1829932
111,9/3/18,107.2007935
111,9/4/18,107.2180194
111,9/5/18,107.2356033
111,9/6/18,107.2533349
111,9/7/18,107.2711275
111,9/8/18,107.2889782
111,9/9/18,107.306828
111,9/10/18,107.324434
111,9/11/18,107.3421867
111,9/12/18,107.3609188
111,9/13/18,107.3796787
111,9/14/18,107.3983413
111,9/15/18,107.4171318
111,9/16/18,107.4359213
111,9/17/18,107.4544427
111,9/18/18,107.4720955
111,9/19/18,107.4896848
111,9/20/18,107.5071122
111,9/21/18,107.5245889
111,9/22/18,107.5421382
111,9/23/18,107.5596866
111,9/24/18,107.5772339
111,9/25/18,107.5946847
111,9/26/18,107.6119504
111,9/27/18,107.6292657
111,9/28/18,107.6451695
111,9/29/18,107.6627566
111,9/30/18,107.6802535
111,10/1/18,107.7563063
111,10/2/18,107.7732043
111,10/3/18,107.7897302
111,10/4/18,107.8062983
111,10/5/18,107.8226051
111,10/6/18,107.839268
111,10/7/18,107.85593
111,10/8/18,107.8724398
111,10/9/18,107.8890025
111,10/10/18,106.5679976
111,10/11/18,106.5845631
111,10/12/18,106.6011671
111,10/13/18,106.617654
111,10/14/18,106.6341401
111,10/15/18,106.6505643
111,10/16/18,106.664018
111,10/17/18,106.6801774
111,10/18/18,106.6965233
111,10/19/18,106.7126439
111,10/20/18,106.7288008
111,10/21/18,106.7449568
111,10/22/18,106.7610853
111,10/23/18,106.7772156
111,10/24/18,106.793307
111,10/25/18,106.809279
111,10/26/18,106.825293
111,10/27/18,106.8413839
111,10/28/18,106.8574739
111,10/29/18,106.8735225
111,10/30/18,106.8914861
111,10/31/18,106.9072439
111,11/1/18,106.9257611
111,11/2/18,106.9428256
111,11/3/18,106.9599083
111,11/4/18,106.97699
111,11/5/18,106.9940708
111,11/6/18,107.0110824
111,11/7/18,107.0280625
111,11/8/18,107.0451391
111,11/9/18,107.0622177
111,11/10/18,107.0792664
111,11/11/18,107.0963433
111,11/12/18,107.1134165
111,11/13/18,107.1304236
111,11/14/18,107.1474509
111,11/15/18,107.1645131
111,11/16/18,107.1813769
111,11/17/18,107.1982508
111,11/18/18,107.2151239
111,11/19/18,107.2319818
111,11/20/18,107.2488482
111,11/21/18,107.2646541
111,11/22/18,107.2806766
111,11/23/18,107.2966251
111,11/24/18,107.312579
111,11/25/18,107.3285321
111,11/26/18,107.3444756
111,11/27/18,107.360424
111,11/28/18,107.376373
111,11/29/18,107.3923164
111,11/30/18,107.4081811
111,12/1/18,107.4249724
111,12/2/18,107.4417629
111,12/3/18,107.4587024
111,12/4/18,107.4747069
111,12/5/18,107.4907125
111,12/6/18,107.5051166
111,12/7/18,107.5207125
111,12/8/18,107.5363129
111,12/9/18,107.5519124
111,12/10/18,107.5675094
111,12/11/18,107.583129
111,12/12/18,107.5987501
111,12/13/18,107.6143744
111,12/14/18,107.629996
111,12/15/18,107.6456265
111,12/16/18,107.6612561
111,12/17/18,107.6768793
111,12/18/18,107.6925179
111,12/19/18,107.7076213
111,12/20/18,107.722844
111,12/21/18,107.7381256
111,12/22/18,107.7534089
111,12/23/18,107.7686915
111,12/24/18,107.7877633
111,12/25/18,107.8029081
111,12/26/18,107.8184654
111,12/27/18,107.8339849
111,12/28/18,107.8498603
111,12/29/18,107.8648079
111,12/30/18,107.8797548
111,12/31/18,108.1954919
111,1/1/19,108.2122861
111,1/2/19,108.2287654
111,1/3/19,108.2447141
111,1/4/19,108.2607585
111,1/5/19,108.2768115
111,1/6/19,108.2928637
111,1/7/19,108.308493
111,1/8/19,108.3257885
111,1/9/19,108.3419332
111,1/10/19,108.3578729
111,1/11/19,106.9136903
111,1/12/19,106.9298775
111,1/13/19,106.9460638
111,1/14/19,106.9622423
111,1/15/19,106.9784125
111,1/16/19,106.9945618
111,1/17/19,107.0107355
111,1/18/19,107.0259009
111,1/19/19,107.0417353
111,1/20/19,107.0575687
111,1/21/19,107.0734014
111,1/22/19,107.0892289
111,1/23/19,107.1050566
111,1/24/19,107.1208925
111,1/25/19,107.1367277
111,1/26/19,107.1525624
111,1/27/19,107.168384
111,1/28/19,107.184185
111,1/29/19,107.1999335
